ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
1,0,4,0.028773069381713867,80,128,76.8,28.773069381713867,7.193267345428467,14.525175094604492,0.0,7.6085945785090905,4,0,0,0,0,0,0,0,0,0,0,4.0,139.01888418418503,0.0,139.01888418418503,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,59602.0,0.0,59602.0,59602.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,1,1,0.0,20,156,76.8,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,124.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,22.0,22.0,0.0,124.0,0.0,124.0,124.0,0,0,1
2,1,22,21.602761030197144,440,440,40.0,15943.00627708435,724.6821035038341,1000.2660751342773,8.793115615844727,406.44869584192213,3,2,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
3,0,4,9.634510040283203,80,314,120.1,485.5778217315674,121.39445543289185,460.129976272583,0.00095367431640625,226.1206193202246,3,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
3,1,6,10.344114065170288,120,687,120.1,0.34689903259277344,0.057816505432128906,0.10585784912109375,0.030040740966796875,0.02709624791427504,6,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
4,0,1,2.060002088546753,20,24,42.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.48543640104047614,0.0,0.48543640104047614,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,39836.0,0.0,39836.0,39836.0,0.0,0.0,0.0,0.0,0.0,0,0,1
4,1,1,2.0601449012756348,20,20,42.0,0.03600120544433594,0.03600120544433594,0.03600120544433594,0.03600120544433594,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.48540274976813685,0.0,0.48540274976813685,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,443.0,0.0,443.0,443.0,0.0,0.0,0.0,0.0,0.0,0,0,1
5,0,1,2.060002088546753,20,20,40.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.48543640104047614,0.0,0.48543640104047614,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,39836.0,0.0,39836.0,39836.0,0.0,0.0,0.0,0.0,0.0,0,0,1
5,1,1,2.0601539611816406,20,20,40.0,0.009059906005859375,0.009059906005859375,0.009059906005859375,0.009059906005859375,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.48540061512025584,0.0,0.48540061512025584,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,1
6,0,1,2.206873893737793,20,24,42.0,146.68989181518555,146.68989181518555,146.68989181518555,146.68989181518555,0.0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.4531296522368549,0.0,0.4531296522368549,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,40092.0,0.0,40092.0,40092.0,0.0,0.0,0.0,0.0,0.0,0,0,1
