ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
1,0,1,0.029412031173706055,20,32,114.0,29.412031173706055,29.412031173706055,29.412031173706055,29.412031173706055,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,33.99969196598656,0.0,33.99969196598656,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,59602.0,0.0,59602.0,59602.0,0.0,0.0,0.0,0.0,0.0,0,0,0
1,1,1,0.0,20,156,114.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,124.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,22.0,22.0,0.0,124.0,0.0,124.0,124.0,0,0,0
2,1,12,11.158972978591919,240,240,40.0,9500.360012054443,791.6966676712036,1001.168966293335,123.36111068725586,378.4124883300136,0,0,2,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,0,2,8.22860312461853,40,28,34.0,70.18399238586426,35.09199619293213,70.18399238586426,0.0,49.62757694678964,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
4,1,2,8.22881293296814,40,28,34.0,0.15282630920410156,0.07641315460205078,0.102996826171875,0.04982948303222656,0.03759498887171748,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,0,1,8.22860312461853,20,24,42.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.12152730966063684,0.0,0.12152730966063684,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,58830.0,0.0,58830.0,58830.0,0.0,0.0,0.0,0.0,0.0,0,0,0
5,1,1,8.228763103485107,20,20,42.0,0.05698204040527344,0.05698204040527344,0.05698204040527344,0.05698204040527344,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.12152494699676948,0.0,0.12152494699676948,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,443.0,0.0,443.0,443.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,0,1,8.22860312461853,20,20,40.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.12152730966063684,0.0,0.12152730966063684,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,58830.0,0.0,58830.0,58830.0,0.0,0.0,0.0,0.0,0.0,0,0,0
6,1,1,8.228858947753906,20,20,40.0,0.04601478576660156,0.04601478576660156,0.04601478576660156,0.04601478576660156,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.1215235315551196,0.0,0.1215235315551196,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,80.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0,0,0
7,0,1,8.386479139328003,20,24,42.0,157.62019157409668,157.62019157409668,157.62019157409668,157.62019157409668,0.0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.11923955016003636,0.0,0.11923955016003636,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,59086.0,0.0,59086.0,59086.0,0.0,0.0,0.0,0.0,0.0,0,0,0
