ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
1,0,6297,39.096275091171265,125940,3440709,313.1879535558781,37326.85661315918,5.927720599199489,219.5298671722412,0.0,7.7286848358171225,6293,1,0,3,0,0,0,0,0,0,0,6297.0,161.06393730133107,3239205.0,161.06393730133107,6297.0,6297.0,33.0,3023.0,18.0,37.0,2791.0,5.0,91.0,47.0,16.0,232.0,4.0,0.0,0.0,0.0,6104.0,6297.0,0.0,6297.0,0.0,6297.0,0.0,45368.0,0.0,45368.0,45368.0,0.0,514.404478323011,303.8935919804454,1.0,1658.0,0,0,1
1,1,6105,39.09631609916687,122100,195408,313.1879535558781,748.1045722961426,0.12253965148175963,43.61915588378906,0.0040531158447265625,1.6318509281158737,6105,0,0,0,0,0,0,0,0,0,0,6105.0,156.15281973152696,0.0,156.15281973152696,6105.0,6105.0,6105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6105.0,0.0,6105.0,0.0,6105.0,0.0,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0,0,1
2,0,1,0.046894073486328125,20,32,114.0,10.460138320922852,10.460138320922852,10.460138320922852,10.460138320922852,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,21.324656308468235,0.0,21.324656308468235,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,56160.0,0.0,56160.0,56160.0,0.0,0.0,0.0,0.0,0.0,0,0,1
2,1,1,0.0020499229431152344,20,156,114.0,1.7139911651611328,1.7139911651611328,1.7139911651611328,1.7139911651611328,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,487.82321470109326,124.0,487.82321470109326,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,22.0,22.0,0.0,124.0,0.0,124.0,124.0,0,0,1
3,1,39,38.35597515106201,780,780,40.0,201.4639377593994,5.165741993830754,15.199899673461914,0.0030994415283203125,4.186800874526817,39,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
4,0,6,5.389477968215942,120,387,88.5,10.212898254394531,1.7021497090657551,5.405902862548828,0.21386146545410156,2.1383947169327246,6,0,0,0,0,0,0,0,0,0,0,6.0,1.1132803650714536,187.0,1.1132803650714536,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,6.0,0.0,6.0,0.0,43391.0,0.0,43391.0,43391.0,0.0,31.166666666666668,76.34243031674238,0.0,187.0,0,0,1
4,1,6,5.389492988586426,120,435,88.5,2.619028091430664,0.43650468190511066,2.319812774658203,0.008106231689453125,0.9236204717612837,6,0,0,0,0,0,0,0,0,0,0,6.0,1.1132772623893328,235.0,1.1132772623893328,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
5,0,7,5.971653938293457,140,540,95.0,10.540962219238281,1.5058517456054688,8.747100830078125,0.00095367431640625,3.2042967624891086,7,0,0,0,0,0,0,0,0,0,0,7.0,1.1722045638164387,308.0,1.1722045638164387,7.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,46593.0,0.0,46593.0,46593.0,0.0,44.0,116.41305768684198,0.0,308.0,0,0,1
5,1,6,5.971657991409302,120,435,95.0,1.6701221466064453,0.2783536911010742,1.4510154724121094,0.0040531158447265625,0.5753853280431952,6,0,0,0,0,0,0,0,0,0,0,6.0,1.0047460870383853,235.0,1.0047460870383853,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
6,0,7,5.971585988998413,140,551,95.84615384615384,9.12165641784668,1.303093773978097,7.232904434204102,0.02193450927734375,2.6422284780431142,7,0,0,0,0,0,0,0,0,0,0,7.0,1.1722179020609027,319.0,1.1722179020609027,7.0,7.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,41027.0,0.0,41027.0,41027.0,0.0,45.57142857142857,120.5706668899435,0.0,319.0,0,0,1
