ip.session_id,meta.direction,ip.pkts_per_flow,duration,ip.header_len,ip.payload_len,ip.avg_bytes_tot_len,time_between_pkts_sum,time_between_pkts_avg,time_between_pkts_max,time_between_pkts_min,time_between_pkts_std,"(-0.001, 50.0]","(50.0, 100.0]","(100.0, 150.0]","(150.0, 200.0]","(200.0, 250.0]","(250.0, 300.0]","(300.0, 350.0]","(350.0, 400.0]","(400.0, 450.0]","(450.0, 500.0]","(500.0, 550.0]",tcp_pkts_per_flow,pkts_rate,tcp_bytes_per_flow,byte_rate,tcp.tcp_session_payload_up_len,tcp.tcp_session_payload_down_len,"(-0.001, 150.0]","(150.0, 300.0]","(300.0, 450.0]","(450.0, 600.0]","(600.0, 750.0]","(750.0, 900.0]","(900.0, 1050.0]","(1050.0, 1200.0]","(1200.0, 1350.0]","(1350.0, 1500.0]","(1500.0, 10000.0]",tcp.fin,tcp.syn,tcp.rst,tcp.psh,tcp.ack,tcp.urg,sport_g,sport_le,dport_g,dport_le,mean_tcp_pkts,std_tcp_pkts,min_tcp_pkts,max_tcp_pkts,entropy_tcp_pkts,mean_tcp_len,std_tcp_len,min_tcp_len,max_tcp_len,entropy_tcp_len,ssl.tls_version,malware
1,0,1,0.02949690818786621,20,32,114.0,29.49690818786621,29.49690818786621,29.49690818786621,29.49690818786621,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,33.901858243277104,0.0,33.901858243277104,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,43852.0,0.0,43852.0,43852.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,1,1,0.0,20,156,114.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,124.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,22.0,0.0,22.0,22.0,0.0,124.0,0.0,124.0,124.0,0,0,1
2,1,123,122.73659992218018,2460,2460,40.0,106365.53001403809,864.7604066181958,1000.4539489746094,7.863044738769531,281.49645727348747,5,0,0,1,2,3,3,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
3,0,7,5.560498952865601,140,407,84.76923076923077,641.1981582641602,91.59973689488002,639.2149925231934,0.05507469177246094,241.4757112557656,6,0,0,0,0,0,0,0,0,0,0,7.0,1.2588798342264866,175.0,1.2588798342264866,7.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0,0.0,7.0,0.0,7.0,0.0,46181.0,0.0,46181.0,46181.0,0.0,25.0,66.14378277661476,0.0,175.0,0,0,1
3,1,6,5.560443878173828,120,435,84.76923076923077,194.99588012695312,32.49931335449219,193.50695610046387,0.010013580322265625,78.87791927135538,5,0,0,1,0,0,0,0,0,0,0,6.0,1.0790505455061856,235.0,1.0790505455061856,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,0.0,6.0,0.0,6.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,39.166666666666664,93.51024899264608,0.0,230.0,0,0,1
4,0,6,37.71916389465332,120,494,95.7,42.42300987243652,7.070501645406087,29.272079467773438,0.32901763916015625,11.740902824974015,6,0,0,0,0,0,0,0,0,0,0,6.0,0.15907033402854664,294.0,0.15907033402854664,6.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,5.0,0.0,6.0,0.0,6.0,0.0,36945.0,0.0,36945.0,36945.0,0.0,49.0,120.02499739637572,0.0,294.0,0,0,1
4,1,4,37.71860098838806,80,263,95.7,5.609035491943359,1.4022588729858398,4.354000091552734,0.008106231689453125,2.039419848401413,4,0,0,0,0,0,0,0,0,0,0,4.0,0.10604847197888989,127.0,0.10604847197888989,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,4.0,0.0,4.0,0.0,4.0,0.0,8080.0,0.0,8080.0,8080.0,0.0,31.75,63.5,0.0,127.0,0,0,1
5,0,6,5.648295879364014,120,358,76.9375,5.658626556396484,0.9431044260660807,2.3200511932373047,0.21505355834960938,0.7909765619904753,6,0,0,0,0,0,0,0,0,0,0,6.0,1.062267297632359,158.0,1.062267297632359,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,1389.0,0.0,1389.0,1389.0,0.0,26.333333333333332,45.332843134604595,0.0,116.0,0,0,1
5,1,10,5.648313045501709,200,553,76.9375,69.81635093688965,6.981635093688965,40.75908660888672,0.0069141387939453125,13.743688018729877,10,0,0,0,0,0,0,0,0,0,0,10.0,1.7704401153834692,225.0,1.7704401153834692,10.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,9.0,0.0,10.0,0.0,10.0,0.0,49524.0,0.0,49524.0,49524.0,0.0,22.5,54.82750728927548,0.0,175.0,0,0,1
6,0,6,5.702885866165161,120,358,76.9375,2.6907920837402344,0.44846534729003906,0.6737709045410156,0.16999244689941406,0.1723066098036956,6,0,0,0,0,0,0,0,0,0,0,6.0,1.0520989093605393,158.0,1.0520989093605393,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,1389.0,0.0,1389.0,1389.0,0.0,26.333333333333332,45.332843134604595,0.0,116.0,0,0,1
6,1,10,5.702898979187012,200,553,76.9375,51.8951416015625,5.18951416015625,42.5260066986084,0.010967254638671875,13.381491322322049,10,0,0,0,0,0,0,0,0,0,0,10.0,1.7534941503427386,225.0,1.7534941503427386,10.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,9.0,0.0,10.0,0.0,10.0,0.0,49538.0,0.0,49538.0,49538.0,0.0,22.5,54.82750728927548,0.0,175.0,0,0,1
7,0,6,5.751245975494385,120,358,76.9375,3.0629634857177734,0.5104939142862955,0.9510517120361328,0.16689300537109375,0.2825283869980548,6,0,0,0,0,0,0,0,0,0,0,6.0,1.043252197100513,158.0,1.043252197100513,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,1389.0,0.0,1389.0,1389.0,0.0,26.333333333333332,45.332843134604595,0.0,116.0,0,0,1
7,1,10,5.751263856887817,200,553,76.9375,29.249906539916992,2.924990653991699,25.09307861328125,0.0040531158447265625,7.84354381453893,10,0,0,0,0,0,0,0,0,0,0,10.0,1.7387482558331626,225.0,1.7387482558331626,10.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,9.0,0.0,10.0,0.0,10.0,0.0,49548.0,0.0,49548.0,49548.0,0.0,22.5,54.82750728927548,0.0,175.0,0,0,1
8,0,6,5.798953056335449,120,358,76.9375,2.879619598388672,0.4799365997314453,0.7889270782470703,0.30493736267089844,0.20852394786539466,6,0,0,0,0,0,0,0,0,0,0,6.0,1.0346695242591943,158.0,1.0346695242591943,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,6.0,0.0,6.0,0.0,6.0,0.0,1389.0,0.0,1389.0,1389.0,0.0,26.333333333333332,45.332843134604595,0.0,116.0,0,0,1
8,1,10,5.798969030380249,200,553,76.9375,44.82555389404297,4.482555389404297,41.44406318664551,0.0059604644775390625,13.007053712083177,10,0,0,0,0,0,0,0,0,0,0,10.0,1.7244444568699968,225.0,1.7244444568699968,10.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,9.0,0.0,10.0,0.0,10.0,0.0,49556.0,0.0,49556.0,49556.0,0.0,22.5,54.82750728927548,0.0,175.0,0,0,1
